Jweller,Address,City,StateCode,Zip,Phone,URL
Wanda Webb LTD," 146 Dogwood Trl,"," South Pittsburg,", TN , 37380,(423) 837-0766,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Gold & Silver Shop," 312 S Cedar Ave,"," South Pittsburg,", TN , 37380,(423) 837-6738,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Slick's Pawn & Gun Shop," 300 S Cedar Ave,"," South Pittsburg,", TN , 37380,(423) 837-8727,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Simmons Jewelry," 19 Courthouse Sq,"," Jasper,", TN , 37347,(423) 942-2638,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Wanda Webb Jewelry," 3697 Main St,"," Jasper,", TN , 37347,(423) 942-6656,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Five Dollar Fashionista," 140 Pryor Ct Drive,"," Jasper,", TN , 37347,(423) 667-3967,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Randy's Jewelry & Pawn," 4700 Highway 136,"," Trenton,", GA , 30752,(706) 657-3815,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Nance's Jewelry," 120 Gordon St,"," Chickamauga,", GA , 30707,(706) 375-4732,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Clements," 1507 S Broad St,"," Scottsboro,", AL , 35768,(256) 574-3445,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Miller's Jewelry," 3509 S Broad St Ste 209,"," Scottsboro,", AL , 35769,(256) 574-5226,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Scottsboro Gun & Pawn Shop," 115 N Broad St,"," Scottsboro,", AL , 35768,(256) 259-0693,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Friedman's," 24833 John T Reid Pkwy,"," Scottsboro,", AL , 35768,(256) 259-6896,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Gina's Jewelry & Gifts," 110 S Market St,"," Scottsboro,", AL , 35768,(256) 574-5652,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
Byrd's Jewelry & Pawn," 620 E Willow St,"," Scottsboro,", AL , 35768,(256) 259-1391,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Bridgeport-AL
G E Morgan Jeweler," 108 W Court Sq,"," Abbeville,", AL , 36310,(334) 585-3495,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Court Square Jewelers Inc," 632 Dothan Rd,"," Abbeville,", AL , 36310,(334) 585-2281,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
John's Jewelry," 7 Grove St,"," Headland,", AL , 36345,(334) 693-9795,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Whitlock Jewelry Store," 124 E Broad St,"," Eufaula,", AL , 36027,(334) 687-4806,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Johnston Jewelry Store," 141 E Broad St,"," Eufaula,", AL , 36027,(334) 687-8253,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Christopher's Diamond & Jewelry Salon," 2373 S US Highway 231,"," Ozark,", AL , 36360,(334) 774-1008,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Harbin Jewelers," 1394 S US Highway 231 Ste 7,"," Ozark,", AL , 36360,(334) 774-4427,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Show Gun & Pawn Inc," 1120 Andrews Ave,"," Ozark,", AL , 36360,(334) 774-4700,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Zales," 900 Commons Dr,"," Dothan,", AL , 36303,(334) 792-0588,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Kay Jewelers," 900 Commons Dr Suite 301,"," Dothan,", AL , 36303,(334) 792-1602,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
Marks & Morgan Jewelers," 900 Commons Dr Suite 803,"," Dothan,", AL , 36303,(334) 793-9553,http://www.buyandsellgoldsilver.com/Gold-Silver-Dealers/Abbeville-AL
