Jweller,Address,City,StateCode,Zip,Phone,Base
D & M Davis Inc," 2 Western RD,"," Woodstock,", AL , 35188,(205) 938-0904, Abernant
Cash America Pawn," 1030 9th Ave N,"," Bessemer,", AL , 35020,(205) 428-6066, Abernant
Coin Castle West," 700 Academy Dr,"," Bessemer,", AL , 35022,(205) 426-3984, Abernant
Zales," 4500 Katies Way,"," Bessemer,", AL , 35022,(205) 425-2570, Abernant
Kay Jewelers," 4897 Promenade Pkwy Suite 109,"," Bessemer,", AL , 35022,(205) 425-4959, Abernant
April's Jewelry & Pawn," 4319 Bessemer Super Hwy,"," Bessemer,", AL , 35020,(205) 425-5400, Abernant
J&K Collectibles," 3215 Long Avenue D,"," Bessemer,", AL , 35020,(205) 718-5918, Abernant
Rebecca's Jewelry," 1825 13th Ave N,"," Bessemer,", AL , 35020,(205) 426-7810, Abernant
My Jeweler," 1825 12th Ave N,"," Bessemer,", AL , 35020,(205) 424-5225, Abernant
Wholesale Accessory Market," 4959 15th Street Rd,"," Bessemer,", AL , 35023,(205) 491-6479, Abernant
James Jewelry Co," 217 19th St N,"," Bessemer,", AL , 35020,(205) 426-3461, Abernant
Rebecca's Jewelry," 1025 13th St N,"," Bessemer,", AL , 35020,(205) 426-7810, Abernant
Heavenly Accessories," 1625 Faircrest Dr.,"," Bessemer,", AL , 35023,(205) 567-1579, Abernant
Seymour Loyle Jewelry Co," 222 19th St N,"," Bessemer,", AL , 35020,(205) 425-3482, Abernant
G E Morgan Jeweler," 108 W Court Sq,"," Abbeville,", AL , 36310,(334) 585-3495, Abbeville
Court Square Jewelers Inc," 632 Dothan Rd,"," Abbeville,", AL , 36310,(334) 585-2281, Abbeville
John's Jewelry," 7 Grove St,"," Headland,", AL , 36345,(334) 693-9795, Abbeville
Whitlock Jewelry Store," 124 E Broad St,"," Eufaula,", AL , 36027,(334) 687-4806, Abbeville
Johnston Jewelry Store," 141 E Broad St,"," Eufaula,", AL , 36027,(334) 687-8253, Abbeville
Christopher's Diamond & Jewelry Salon," 2373 S US Highway 231,"," Ozark,", AL , 36360,(334) 774-1008, Abbeville
Harbin Jewelers," 1394 S US Highway 231 Ste 7,"," Ozark,", AL , 36360,(334) 774-4427, Abbeville
Show Gun & Pawn Inc," 1120 Andrews Ave,"," Ozark,", AL , 36360,(334) 774-4700, Abbeville
Zales," 900 Commons Dr,"," Dothan,", AL , 36303,(334) 792-0588, Abbeville
Kay Jewelers," 900 Commons Dr Suite 301,"," Dothan,", AL , 36303,(334) 792-1602, Abbeville
Marks & Morgan Jewelers," 900 Commons Dr Suite 803,"," Dothan,", AL , 36303,(334) 793-9553, Abbeville
Saad Nick & Co," 3201 Montgomery Hwy Ste 1,"," Dothan,", AL , 36303,(334) 792-9522, Abbeville
Wicked Scents," 142 Single St Apt 4,"," Dothan,", AL , 36303,(334) 796-9742, Abbeville
Bradshaw's Manufacturing Jwlrs," 3850 W Main St # 602,"," Dothan,", AL , 36305,(334) 793-6363, Abbeville
"Elaine Davis, Independent Avon Representative"," 1712 Diane St,"," Cottondale,", AL , 35453,(205) 462-3678, Abernant
Diamonds & Onyx Inc," 324 3rd Way,"," Pleasant Grove,", AL , 35127,(205) 639-1800, Abernant
Agnew Jewelers," 311 Main St Ste 109,"," Mulga,", AL , 35118,(205) 661-3422, Abernant
Glitz & Glam Boutique," 305 Crawford St,"," Fairfield,", AL , 35064,(205) 396-5118, Abernant
Kay Jewelers," 7201 Aaron Aronov Dr Space 33,"," Fairfield,", AL , 35064,(205) 923-0107, Abernant
Kay Jewelers," WESTERN Hills Mall,"," Fairfield,", AL , 35064,(205) 923-0107, Abernant
Intrigue Jewelers," 7201 Aaron Aronov Dr,"," Fairfield,", AL , 35064,(205) 923-5116, Abernant
Us Jewelers," 7201 Aaron Aronov Dr,"," Fairfield,", AL , 35064,(205) 929-0890, Abernant
Midas Jewelers," 7201 Aaron Aronov Dr Ste 11,"," Fairfield,", AL , 35064,(205) 923-5308, Abernant
KC Charms," 704 Greenbriar Rd,"," Fairfield,", AL , 35064,(205) 529-1894, Abernant
Intrigue Jewelers," 7201 Aaron Aronov Dr,"," Fairfield,", AL , 35064,(205) 923-5116, Abernant
Paul's Diamond Ctr," 300 Colonial Promenade Pkwy Ste 300,"," Alabaster,", AL , 35007,(205) 664-4400, Abernant
Scott's Jewelry & Pawn," 873 1st St N,"," Alabaster,", AL , 35007,(205) 664-4032, Abernant
Bizee Beads," 378 Dog Wood Ln,"," Quinton,", AL , 35130,(205) 674-9831, Abernant
Saads Jewelers," 3201 Montgomery Hwy Ste 1,"," Dothan,", AL , 36303,(334) 792-9522, Abbeville
First Class Diamonds & Jewelry," 1230 Westgate Pkwy # 4,"," Dothan,", AL , 36303,(334) 699-3363, Abbeville
Maria's Paparazzi Jewelry," 473 Berlin Rd,"," Dothan,", AL , 36301,(334) 714-7244, Abbeville
Firefly Beads," 3074 Ross Clark Cir Ste 10,"," Dothan,", AL , 36301,(334) 677-7731, Abbeville
