FullState,Jeweller,Address,City,StateCode,Zip
 Abbeville,G E Morgan Jeweler," 108 W Court Sq,"," Abbeville,", AL , 36310
 Abbeville,Court Square Jewelers Inc," 632 Dothan Rd,"," Abbeville,", AL , 36310
 Abbeville,John's Jewelry," 7 Grove St,"," Headland,", AL , 36345
 Abbeville,Whitlock Jewelry Store," 124 E Broad St,"," Eufaula,", AL , 36027
 Abbeville,Johnston Jewelry Store," 141 E Broad St,"," Eufaula,", AL , 36027
 Abbeville,Christopher's Diamond & Jewelry Salon," 2373 S US Highway 231,"," Ozark,", AL , 36360
 Abbeville,Harbin Jewelers," 1394 S US Highway 231 Ste 7,"," Ozark,", AL , 36360
 Abbeville,Show Gun & Pawn Inc," 1120 Andrews Ave,"," Ozark,", AL , 36360
 Abbeville,Zales," 900 Commons Dr,"," Dothan,", AL , 36303
 Abbeville,Kay Jewelers," 900 Commons Dr Suite 301,"," Dothan,", AL , 36303
 Abbeville,Marks & Morgan Jewelers," 900 Commons Dr Suite 803,"," Dothan,", AL , 36303
 Abbeville,Saad Nick & Co," 3201 Montgomery Hwy Ste 1,"," Dothan,", AL , 36303
 Abbeville,Wicked Scents," 142 Single St Apt 4,"," Dothan,", AL , 36303
 Ardmore,Hobbs Jewelers," 26557 Main St,"," Ardmore,", TN , 38449
 Ardmore,Uncle Sam's Pawn Shop," 8998 Hwy 53,"," Toney,", AL , 35773
 Ardmore,Moon Dust Silver," 129 Williams Rd,"," Toney,", AL , 35773
 Ardmore,True Quality Jewelry," 8 Bronte Dr,"," Taft,", TN , 38488
 Ardmore,Vida," 111 Populus Dr,"," Harvest,", AL , 35749
 Ardmore,Sprays Jewelers," 1822 Huntsville Hwy,"," Fayetteville,", TN , 37334
 Ardmore,Sabghi Jewelers," 1302 Huntsville Hwy,"," Fayetteville,", TN , 37334
 Ardmore,Joy & Company," 214 Main Ave S,"," Fayetteville,", TN , 37334
 Ardmore,Parks Jewelers," 119 Market St E,"," Fayetteville,", TN , 37334
 Arab,Magnolia Jewelers," 204 N Brindlee Mountain Pkwy,"," Arab,", AL , 35016
 Arab,Arab Jewelry & Pawn Shop," 50 N Main St,"," Arab,", AL , 35016
 Arab,Kingsworld Jewelry," 748 Midway Rd,"," Union Grove,", AL , 35175
 Arab,Guntersville Pawn," 12777 US Highway 431,"," Guntersville,", AL , 35976
 Arab,Swords Jewelry," 384 Gunter Ave,"," Guntersville,", AL , 35976
 Arab,Griffins Jewelers," 11611 US Highway 431,"," Guntersville,", AL , 35976
 Arab,Mamabear's Baubles," 144 Pine Ridge Rd,"," Laceys Spring,", AL , 35754
 Arab,Joe's Pawn Shop," 11411 US Highway 431,"," Albertville,", AL , 35950
 Annemanie,Camden Jewelry & Gifts," 47 Camden Byp,"," Camden,", AL , 36726
 Annemanie,Roy's Fine Jewelry," 30 Broad St,"," Selma,", AL , 36701
