FullState,Jeweller,Address,City,StateCode,Zip
 Abbeville,G E Morgan Jeweler," 108 W Court Sq,"," Abbeville,", AL , 36310
 Abbeville,Court Square Jewelers Inc," 632 Dothan Rd,"," Abbeville,", AL , 36310
 Abbeville,John's Jewelry," 7 Grove St,"," Headland,", AL , 36345
 Auburn University,Howard's Fine Jewelry," 1147 Opelika Rd,"," Auburn,", AL , 36830
 Auburn University,Ware Jewelers," 111 S College St,"," Auburn,", AL , 36830
 Auburn University,Swanson Diamond Center," 920 Opelika Rd,"," Auburn,", AL , 36830
 Auburn,Howard's Fine Jewelry," 1147 Opelika Rd,"," Auburn,", AL , 36830
 Auburn,Ware Jewelers," 111 S College St,"," Auburn,", AL , 36830
 Auburn,Swanson Diamond Center," 920 Opelika Rd,"," Auburn,", AL , 36830
 Attalla,Attalla Pawn & Jewelry," 709 Gilbert Ferry Rd SE,"," Attalla,", AL , 35954
 Atmore,Earle's Jewelers," 119 N Main St,"," Atmore,", AL , 36502
 Atmore,State Line Pawn Shop," 300 E Church St Ste G,"," Atmore,", AL , 36502
 Atmore,Len's Jewelers," 309 Palafox St,"," Flomaton,", AL , 36441
 Atmore,Len's Jewelers," 22172 Highway 31,"," Flomaton,", AL , 36441
 Athens,Shea Leigh's Gifts At MEWS," 811 US Highway 72 W,"," Athens,", AL , 35611
 Athens,Hobbs Jewelers," 571 US Highway 72 W,"," Athens,", AL , 35611
 Athens,Bradfords Pawn & Gun," 314 S Marion St,"," Athens,", AL , 35611
 Athens,Thomas Ruth Jeweler," 27512 US Highway 72,"," Athens,", AL , 35613
 Ashland,Ann's Flowers Gifts Jewelry & Nursery," 83670 Highway 9,"," Ashland,", AL , 36251
 Ashland,Fred's Jewelry," 83670 Highway 9,"," Ashland,", AL , 36251
 Ashland,Duke's Jewelry," 60065 Highway 49,"," Lineville,", AL , 36266
 Ashland,Jewel's Place," 22719 Highway 22 E,"," Daviston,", AL , 36256
 Ashville,D R Jewelry," 243 US Highway 11,"," Springville,", AL , 35146
 Ashville,Rainbow Jewelry & Loan," 3335 Rainbow Dr,"," Rainbow City,", AL , 35906
 Ashville,Haywood Jewelers," 3354 Rainbow Dr,"," Rainbow City,", AL , 35906
 Ashville,Hbn Wholesale," 260 Wiggins St,"," Rainbow City,", AL , 35906
 Ashford,Diamondz & Pearlz Boutique," 990 Saint Johns Rd,"," Gordon,", AL , 36343
 Ashford,Zales," 900 Commons Dr,"," Dothan,", AL , 36303
 Ashford,Kay Jewelers," 900 Commons Dr Suite 301,"," Dothan,", AL , 36303
 Ashford,Marks & Morgan Jewelers," 900 Commons Dr Suite 803,"," Dothan,", AL , 36303
 Ashford,Saad Nick & Co," 3201 Montgomery Hwy Ste 1,"," Dothan,", AL , 36303
 Ashford,Wicked Scents," 142 Single St Apt 4,"," Dothan,", AL , 36303
